reference;partName;_HID;symbolName;sheetNumber;_DEST;noMount;trimOption;nominal_value;dim_nominal_value;ref_voltage_divider;fac_voltage_divider;des_voltage_divider
S6000;1277379011;sht11.cmp2538;cj950_sdsym_2.smb;011;;NO;;;;;;
S6050;1277379011;sht12.cmp1916;cj950_sdsym_8.smb;012;;NO;;;;;;
S6220;1267379613;sht11.cmp2692;ad8203yr_sym_2.smb;011;;NO;;;;;;
S6230;1267379613;sht11.cmp2829;ad8203yr_sym_2.smb;011;;YES;;;;;;
S6240;1267379613;sht12.cmp2080;ad8203yr_sym_2.smb;012;;NO;;;;;;
S6250;1267379613;sht12.cmp2129;ad8203yr_sym_2.smb;012;;YES;;;;;;
S6260;1267379613;sht13.cmp1834;ad8203yr_sym_1.smb;013;;YES;;;;;;
S6270;1267379613;sht13.cmp1714;ad8203yr_sym_1.smb;013;;YES;;;;;;
S6700;0272240316;sht13.cmp1751;cj960_sdsym_1.smb;013;;NO;;;;;;
S6940;8909010030;sht15.cmp3477;bts5045-2eka_sdsym_1.smb;015;;NO;;;;;;
S6960;8909010032;sht15.cmp3323;bts5045-2eka_sdsym_1.smb;015;;NO;;;;;;
S6980;8909010032;sht15.cmp3260;bts5045-2eka_sdsym_1.smb;015;;NO;;;;;;
S7120;8909010030;sht15.cmp3536;bts5045-2eka_sdsym_1.smb;015;;NO;;;;;;
S7160;8909010030;sht15.cmp3548;bts5045-2eka_sdsym_1.smb;015;;NO;;;;;;
S8100;8909014152;sht13.cmp2337;l9959u_sdsym_6.smb;013;;NO;;;;;;
S8120;8909014152;sht13.cmp2253;l9959u_sdsym_6.smb;013;;YES;;;;;;
S8300;8909014153;sht14.cmp1904;l9959t_sdsym_12.smb;014;;NO;;;;;;
S8340;8909014152;sht14.cmp2383;l9959t_sdsym_12.smb;014;;NO;;;;;;
S9500;1267367310;sht16.cmp4983|sht16.cmp4984|sht16.cmp4985|sht16.cmp4986|sht16.cmp4987|sht16.cmp4988|sht16.cmp4989|sht16.cmp4990|sht16.cmp4991|sht16.cmp4992|sht16.cmp4993|sht16.cmp4994|sht16.cmp4995|sht16.cmp4996|sht16.cmp4997|sht16.cmp4998|sht16.cmp4999|sht16.cmp5000|sht16.cmp5001|sht16.cmp5002;sc900721ae_sdsym_1_1.smb|sc900721ae_sdsym_2.smb|sc900721ae_sdsym_3.smb|sc900721ae_sdsym_4.smb|sc900721ae_sdsym_5.smb|sc900721ae_sdsym_6.smb|sc900721ae_sdsym_7.smb|sc900721ae_sdsym_8.smb|sc900721ae_sdsym_9.smb|sc900721ae_sdsym_10.smb|sc900721ae_sdsym_11.smb|sc900721ae_sdsym_12.smb|sc900721ae_sdsym_13.smb|sc900721ae_sdsym_14.smb|sc900721ae_sdsym_15.smb|sc900721ae_sdsym_16.smb|sc900721ae_sdsym_17.smb|sc900721ae_sdsym_18.smb|sc900721ae_sdsym_19.smb|sc900721ae_sdsym_20.smb;016;;NO;;;;;;
S8320A;8909014153;sht14.cmp2147;l9959t_sdsym_12.smb;014;;YES;;;;;;
S8320B;8909014152;sht14.cmp2205;l9959u_sdsym_6.smb;014;;NO;;;;;;
S8320C;8909014152;sht14.cmp2299;l9959u_sdsym_6.smb;014;;YES;;;;;;
T1713;1267377041;sht6.cmp1120;master_nmos_sym_1.smb;006;;NO;;;;;;
T3030;8909004465;sht1.cmp5133;buk9y19-55b_sym_1.smb;001;;NO;;;;;;
T5120;1267377051;sht10.cmp3273/sht2.cmp3367;pmpb100xpea_sdsym_1.smb;010;;NO;;;;;;
T5122;1267377052;sht10.cmp3273/sht2.cmp3368;pmpb55_sdsym_1.smb;010;;NO;;;;;;
T9500;8905509145;sht16.cmp4919;master_nmos3_sym_1.smb;016;;NO;;;;;;
T9600;8909004465;sht16.cmp4826;buk9y19-55b_sym_1.smb;016;;NO;;;;;;
T9630;8909004465;sht16.cmp4828;buk9y19-55b_sym_1.smb;016;;NO;;;;;;
TN3022;1267377069;sht1.cmp5074|sht1.cmp5145;ipg20n04s4_sdsym_1_1.smb|ipg20n04s4_sdsym_2_1.smb;001;;NO;;;;;;
TN8430;1267377045;sht9.cmp1587|sht9.cmp1591;bc846bdw1_sdsym_1.smb|bc846bdw1_sdsym_2.smb;009;;NO;;;;;;
TN9605;1267377068;sht16.cmp4392|sht16.cmp4403;ipg20n04s4_sdsym_1_1.smb|ipg20n04s4_sdsym_2_1.smb;016;;NO;;;;;;
TN9610;1267377068;sht16.cmp4414|sht16.cmp4426;ipg20n04s4_sdsym_1_1.smb|ipg20n04s4_sdsym_2_1.smb;016;;NO;;;;;;
TN9620;1267377068;sht16.cmp4436|sht16.cmp4470;ipg20n04s4_sdsym_1_1.smb|ipg20n04s4_sdsym_2_1.smb;016;;NO;;;;;;
TN9640;1267377068;sht16.cmp4448|sht16.cmp4459;ipg20n04s4_sdsym_1_1.smb|ipg20n04s4_sdsym_2_1.smb;016;;NO;;;;;;
X1;1034486397;sht1.cmp5171;st_sym_1.smb;001;;NO;;;;;;
X5000;8905B0010601;sht10.cmp3273/sht1.cmp2043;bdm_10_sym_1.smb;010;;YES;;;;;;
