Partnumber,Package,Value,Tolerance
8909015773,,WMC598TE-GL,
8902001803,1206,220pF,20%
8909015774,InSOP-T28G,INN3947FQ-TL,
8909008364,6.5.x6.5,22uH,
8900433284,0414,887R,1%
8902001804,1206,470pF,20%
8909010554,,HCRTP,
8900422394,0411,39k,5%
8900467044,0309,28R,2%
8900422395,0411,390k,5%
8909008365,0603,44.2k,1%
8900467045,0309,28.7R,2%
8900433285,0414,909R,1%
8909015775,120-Lead LQFP_EP,ADSP-21562WCSWZ4,
8909010555,24BGA,MX75U25690FDR02,
8900422396,0411,3.9M,5%
8900433286,0414,931R,1%
8909008366,0603,44.2k,1%
0281D05766,,undefined,
8900467046,0309,29.4R,2%
8909015776,SOT-23-8,LM74500QDDFRQ1,
8902001806,0805,1pF,5%
8900433287,0414,953R,1%
8909010557,6.6mm x 6.6mm,100uF,20%
8902001807,0805,1.2pF,5%
8900467047,0309,30.1R,2%
8909008367,0603,44.2k,1%
8905510170,0603,(VDR),
8900334910,0309,9.1R,2%
8909008368,DPAK,IPD90P04P4L-04,
1270E35418,,undefined,
8909B03910,WSON8,TPS59603-Q1,
8909010558,SOIC8,AMC1211AQDWVRQ1,
8900467048,0309,30.9R,2%
8902001808,0805,1.5pF,5%
8900433288,0414,976R,1%
0273141090,PM12,SMB227,
8909001608,D2-PAK,FQB27N25TM-F085,
8900679360,0207,54.9k,2%
8909B01880,,VA0521,
8909015778,,ATWPEF151510B201,
8905505671,TO263/5,TLE4270-2G,
8905502639,HY_FUER-HYBRID-SG,OP580,
0274B0202401,BGA48,SMI750 A-Sample,
8909015779,TOLL-8QL,SVGZ101R5NLQ-2HS,
8638803241,,D4S20L-40MA5-Y,
8909B0416701,0402,24k,0.1%
8909001609,HSON8,NP40N10YDF-E1-AY,
8900679361,0207,56.2k,2%
890901485401,,undefined,
8909B0629801,WQFN-16,TPS61378QWRTERQ1,
8909B0772001,4X4X0.7,TMS-T97-111A-A00,
8900334911,0309,91R,2%
8909012721,HTSSOP (14),TPS65321AQPWPRQ1,
8900467049,0309,31.6R,2%
8909010559,SO14,TJA1145AT/FD/0,
8900433289,0414,1k,1%
8902001809,0805,1.8pF,5%
8909008369,DPAK,SQD40061EL-GE3,
8902952401,,10nF,20%
8900228201,0207,10k,2%
890900492301,0402,42200R,1%
8909B01881,TO252-5,BD800M5WFP-C,
8909B0688501,2016,25MHz,100ppm
8902838861,,3.3nF,20%
1274477951,,2uF,10%
8909012722,PG-TSDSO-14,BTN7030-1EPA,
890901485402,EFD30.6,HT31X972ST-1,
1274477952,,10nF,20%
3284486842,,MESSERLEISTE  7,
0274B0202402,BGA48,SMI750 A-Sample,
8905505672,SO8,AA747,
8900679362,0207,57.6k,2%
8909B01882,12-Pin QFN,SKYA21013,
8900334912,0309,910R,2%
8909B03912,2520,24MHz,100ppm
8900228202,0207,10.5k,2%
8900679363,0207,59k,2%
8900334913,0309,9.1k,2%
8900228203,0207,11k,2%
1274477953,,10nF,20%
8909B03913,0612,1m,1%
0281C01783,,0281C01783,
8905510174,16x20 wired,3mF,30%
8900679364,0207,60.4k,2%
8902960414,,150nF,30%
8909012724,HTSSOP16,TPS2HB35AQPWPRQ1,
8638803244,,undefined,
1274477954,,82nF,20%
8909B03914,QFN48 (7x7),RTL9010AA,
8900334914,0309,91k,2%
8900228204,0207,11.5k,2%
8905505674,PG-DSO-8-16,TLE6250GV33,
1274477955,,220nF,10%
8909B01885,6 Pin MLPD,SKY13381-374LF,
8909B03915,6.5x6x4.5,4.7uH,
8900334915,0309,910k,2%
8905405905,56A2,SE16,
1270C30565,,2191130151,
8900228205,0207,12.1k,2%
8900679365,0207,61.9k,2%
1267379765,HIQUAD64,CY317 (RB),
8902838865,,4.7nF,20%
8905510175,0805,23.7R,1%
8900228206,0207,12.7k,2%
1267379766,PSO36,CY320-STM-AG8 8`,
8909012726,Power PAK 8x8 (LFPAK88),SQJQ146E_T2_GE3,
8905510176,0603,1nF,10%
8905505676,LQFP80,TMS470PVF241BAPN,
8900679366,0207,63.4k,2%
8909B01886,DCC6C,LY31A,
8909B03916,LQFP48 EP,MC33FS4500NAE,
1274477956,,220nF,10%
8900228207,0207,13.3k,2%
8909B01887,SO16 plastic small outline package,32.768kHz,
8900679367,0207,64.9k,2%
8909B03917,2520,24MHz,50ppm
1274477957,,390nF,10%
8905510177,0603,2.2nF,10%
8905505677,LQFP100,TMS470PVF246BAPZ,
0281D03507,,undefined,
8905505678,SOT23,SZMMBZ5V6ALT1,
8909015760,THT,HL35E1959DT-HF,
1277638068,SOIC8MCP,SMA685,
8909B02500,2016,20MHz,50ppm
8909B01888,"LFBGA292,0.8mm pitch",TC297-ED,
8900214340,0204,3.48k,2%
8909B03918,,Klemmrand part,
1270C10978,,,
86388E3418,,FX23-80P-0.5SV15,
8900467030,0309,20R,2%
8909011290,5 x11x 13,4.7nF,10%
8900433270,0414,634R,1%
8905510178,0603,4.7nF,10%
1274477958,,47nF,10%
8905502620,PG-DSO-8-16,TLE6250G,
