"Component ID","Symbol Name","Part Name","Reference Designator","Not mount on PCB","Value"
"","SymbolName","partName","reference","noMount","value"
"sht10.cmp5389/sht1.cmp2735","exportio.smb","P01_13_PN13_N1","","",""
"sht10.cmp5389/sht1.cmp2736","exportio.smb","P01_14_PN14_P2","","",""
"sht10.cmp5389/sht1.cmp2737","exportio.smb","P01_15_PN15_P1","","",""
"sht10.cmp5389/sht1.cmp2738","exportio.smb","P02_12_PN1_F2","","",""
"sht10.cmp5389/sht1.cmp2739","exportio.smb","P02_13_PN2_F1","","",""
"sht10.cmp5389/sht1.cmp2740","exportio.smb","P02_14_PN3_G2","","",""
"sht10.cmp5389/sht1.cmp2741","exportio.smb","P02_15_PN4_G1","","",""
"sht10.cmp5389/sht1.cmp2742","exportio.smb","P10_9_PM11_B8","","",""
"sht10.cmp5389/sht1.cmp2743","exportio.smb","P10_10_PM12_B7","","",""
"sht10.cmp5389/sht1.cmp2744","exportio.smb","P10_11_PN0_A7","","",""
"sht10.cmp5389/sht1.cmp2745","exportio.smb","P10_13_PM15_A6","","",""
"sht10.cmp5389/sht1.cmp2746","exportio.smb","P10_14_PM14_B5","","",""
"sht10.cmp5389/sht1.cmp2747","exportio.smb","P10_15_PX0_A5","","",""
"sht10.cmp5389/sht1.cmp2748","exportio.smb","P13_4_PQ8_B16","","",""
"sht10.cmp5389/sht1.cmp2749","exportio.smb","P13_5_PQ9_A16","","",""
"sht10.cmp5389/sht1.cmp2750","exportio.smb","P13_6_PQ10_B15","","",""
"sht10.cmp5389/sht1.cmp2751","exportio.smb","P13_7_PQ11_A15","","",""
"sht10.cmp5389/sht1.cmp2752","exportio.smb","P13_9_PQ13_A14","","",""
"sht10.cmp5389/sht1.cmp2753","exportio.smb","P13_10_PQ14_B13","","",""
"sht10.cmp5389/sht1.cmp2754","exportio.smb","P13_11_PX1_A13","","",""
"sht10.cmp5389/sht1.cmp2755","exportio.smb","P13_12_PQ15_B12","","",""
"sht10.cmp5389/sht1.cmp2756","exportio.smb","P13_13_PX3_A12","","",""
"sht10.cmp5389/sht1.cmp2757","exportio.smb","P13_14_PX2_B11","","",""
"sht10.cmp5389/sht1.cmp2758","exportio.smb","P13_15_PX4_A11","","",""
"sht10.cmp5389/sht1.cmp2759","exportio.smb","P14_11_PQ3_A20","","",""
"sht10.cmp5389/sht1.cmp2760","exportio.smb","P14_12_PQ4_B19","","",""
"sht10.cmp5389/sht1.cmp2761","exportio.smb","P14_13_PQ5_A19","","",""
"sht10.cmp5389/sht1.cmp2762","exportio.smb","P14_14_PQ6_B18","","",""
"sht10.cmp5389/sht1.cmp2763","exportio.smb","P14_15_PQ7_A18","","",""
"sht10.cmp5389/sht1.cmp2764","exportio.smb","P15_10_PX6_B24","","",""
"sht10.cmp5389/sht1.cmp2765","exportio.smb","P15_11_PX7_A24","","",""
"sht10.cmp5389/sht1.cmp2766","exportio.smb","P15_12_PX8_B23","","",""
"sht10.cmp5389/sht1.cmp2767","exportio.smb","P15_13_PX9_A23","","",""
"sht10.cmp5389/sht1.cmp2768","exportio.smb","P15_14_PX10_B22","","",""
"sht10.cmp5389/sht1.cmp2769","exportio.smb","P15_15_PX11_A22","","",""
"sht10.cmp5389/sht1.cmp2770","exportout.smb","P24_14_PW14_K29","","",""
"sht10.cmp5389/sht1.cmp2771","exportout.smb","P24_12_PW12_L29","","",""
"sht10.cmp5389/sht1.cmp2772","exportout.smb","P24_13_PW13_L30","","",""
"sht10.cmp5389/sht1.cmp2773","exportout.smb","P24_11_PW11_M30","","",""
"sht10.cmp5389/sht1.cmp2774","exportout.smb","P24_10_PW10_M29","","",""
"sht10.cmp5389/sht1.cmp2775","exportout.smb","P24_6_PW6_P29","","",""
"sht10.cmp5389/sht1.cmp2776","exportout.smb","P24_9_PW9_N30","","",""
"sht10.cmp5389/sht1.cmp2777","exportout.smb","P24_15_PW15_K30","","",""
"sht10.cmp5389/sht1.cmp2778","exportout.smb","P24_7_PW7_P30","","",""
"sht10.cmp5389/sht1.cmp2779","exportout.smb","P24_4_PW4_R29","","",""
"sht10.cmp5389/sht1.cmp2780","exportout.smb","P24_8_PW8_N29","","",""
"sht10.cmp5389/sht1.cmp2781","exportout.smb","P24_0_PW0_U29","","",""
"sht10.cmp5389/sht1.cmp2782","exportout.smb","P24_5_PW5_R30","","",""
"sht10.cmp5389/sht1.cmp2783","exportout.smb","P24_3_PW3_T30","","",""
"sht10.cmp5389/sht1.cmp2784","exportout.smb","P24_2_PW2_T29","","",""
"sht10.cmp5389/sht1.cmp2785","exportout.smb","P24_1_PW1_U30","","",""
"sht10.cmp5389/sht1.cmp2786","exportout.smb","P25_15_PV15_Y30","","",""
"sht10.cmp5389/sht1.cmp2787","exportout.smb","P25_13_PV13_AA30","","",""
"sht10.cmp5389/sht1.cmp2788","exportout.smb","P25_14_PV14_Y29","","",""
"sht10.cmp5389/sht1.cmp2789","exportout.smb","P25_12_PV12_AA29","","",""
"sht10.cmp5389/sht1.cmp2790","exportout.smb","P30_9_PT9_AK25","","",""
"sht10.cmp5389/sht1.cmp2791","exportout.smb","P30_14_PT14_AJ28","","",""
"sht10.cmp5389/sht1.cmp2792","exportout.smb","P30_13_PT13_AK27","","",""
"sht10.cmp5389/sht1.cmp2793","exportout.smb","P30_8_PT8_AJ25","","",""
"sht10.cmp5389/sht1.cmp2794","exportout.smb","P30_6_PT6_AJ24","","",""
"sht10.cmp5389/sht1.cmp2795","exportout.smb","P30_10_PT10_AJ26","","",""
"sht10.cmp5389/sht1.cmp2796","exportout.smb","P30_15_PT15_AK28","","",""
"sht10.cmp5389/sht1.cmp2797","exportout.smb","P30_7_PT7_AK24","","",""
"sht10.cmp5389/sht1.cmp2798","exportout.smb","P30_4_PT4_AJ23","","",""
"sht10.cmp5389/sht1.cmp2799","exportout.smb","P30_12_PT12_AJ27","","",""
"sht10.cmp5389/sht1.cmp2800","exportout.smb","P30_11_PT11_AK26","","",""
"sht10.cmp5389/sht1.cmp2801","exportout.smb","P30_1_PT1_AK21","","",""
"sht10.cmp5389/sht1.cmp2802","exportout.smb","P30_2_PT2_AJ22","","",""
"sht10.cmp5389/sht1.cmp2803","exportout.smb","P30_5_PT5_AK23","","",""
"sht10.cmp5389/sht1.cmp2804","exportout.smb","P30_0_PT0_AJ21","","",""
"sht10.cmp5389/sht1.cmp2805","exportout.smb","P30_3_PT3_AK22","","",""
"sht10.cmp5389/sht1.cmp2806","exportout.smb","P31_7_PS7_AK15","","",""
"sht10.cmp5389/sht1.cmp2807","exportout.smb","P31_15_PS15_AK19","","",""
"sht10.cmp5389/sht1.cmp2808","exportout.smb","P31_14_PS14_AJ19","","",""
"sht10.cmp5389/sht1.cmp2809","exportout.smb","P31_12_PS12_AJ18","","",""
"sht10.cmp5389/sht1.cmp2810","exportout.smb","P31_6_PS6_AJ15","","",""
"sht10.cmp5389/sht1.cmp2811","exportout.smb","P31_10_PS10_AJ17","","",""
"sht10.cmp5389/sht1.cmp2812","exportout.smb","P31_13_PS13_AK18","","",""
"sht10.cmp5389/sht1.cmp2813","exportout.smb","P31_5_PS5_AK14","","",""
"sht10.cmp5389/sht1.cmp2814","exportout.smb","P31_4_PS4_AJ14","","",""
"sht10.cmp5389/sht1.cmp2815","exportout.smb","P31_11_PS11_AK17","","",""
"sht10.cmp5389/sht1.cmp2816","exportout.smb","P31_3_PS3_AK13","","",""
"sht10.cmp5389/sht1.cmp2817","exportout.smb","P31_9_PS9_AK16","","",""
"sht10.cmp5389/sht1.cmp2818","exportout.smb","P31_2_PS2_AJ13","","",""
