Component ID,Reference Designator,Part Name,Not mount on PCB,Symbol Name
,reference,partName,noMount,SymbolName
sht8.cmp579,D2280,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht1.cmp1405,D3000,1267375175,NO,schottky_sym_1.smb
sht1.cmp1384,D3000T,8909B0295201,YES,master_diode_sym_1.smb
sht1.cmp1490,D3001,1267375143,NO,master_diode_sym_1.smb
sht1.cmp1879,D3002,1267375404,NO,suppressor_sym_1.smb
sht1.cmp1880,D3003,1267375404,NO,suppressor_sym_1.smb
sht1.cmp1559,D3011,1267375118,NO,master_diode_sym_1.smb
sht1.cmp1316,D3012,1267375404,NO,suppressor_sym_1.smb
sht1.cmp1391,D3020,1267375175,NO,schottky_sym_1.smb
sht1.cmp1471,D3022,1267375158,NO,schottky_sym_1.smb
sht1.cmp1458,D3023,1267375158,NO,schottky_sym_1.smb
sht1.cmp1698,D3024,1267375165,NO,schottky_sym_1.smb
sht1.cmp1288,D3025,1267375158,NO,schottky_sym_1.smb
sht1.cmp1474,D3026,1267375158,NO,schottky_sym_1.smb
sht3.cmp148,D3162,1267375158,NO,master_schottky_horiz_sdsym_1.smb
sht4.cmp3547,D3171,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht4.cmp4883,D3175,1267375426,YES,doppel_suppressor_bidirekt_sdsym_1.smb
sht3.cmp179,D3200,1267375118,YES,master_diode_sym_1.smb
sht1.cmp2017,D3430,1267375404,YES,suppressor_sym_1.smb
sht1.cmp2042,D3431,1267375435,NO,master_zdiode_sym_1.smb
sht4.cmp3976,D4551,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht4.cmp4884,D4553,1267375426,YES,doppel_suppressor_bidirekt_sdsym_1.smb
sht4.cmp4248,D4561,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht4.cmp4885,D4562,1267375426,YES,doppel_suppressor_bidirekt_sdsym_1.smb
sht4.cmp4913,D4563,1267375426,YES,doppel_suppressor_bidirekt_sdsym_1.smb
sht4.cmp4912,D4566,1267375426,YES,doppel_suppressor_bidirekt_sdsym_1.smb
sht4.cmp4294,D4576,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht4.cmp4323,D4581,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht4.cmp4757,D4591,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht4.cmp4781,D4593,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht4.cmp4886,D4594,1267375426,YES,doppel_suppressor_bidirekt_sdsym_1.smb
sht4.cmp4878,D4600,1267375162,NO,master_diode_sym_1.smb
sht4.cmp4824,D4604,1267375159,YES,master_diode_sym_1.smb
sht4.cmp4799,D4609,1267375159,NO,master_diode_sym_1.smb
sht5.cmp2471,D4610,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht5.cmp2479,D4615,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht5.cmp2492,D4620,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht5.cmp2507,D4625,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht5.cmp2543,D4630,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht5.cmp2667,D4631,1267375426,YES,doppel_suppressor_bidirekt_sdsym_1.smb
sht5.cmp2606,D4641,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht5.cmp2707,D4643,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht5.cmp2708,D4644,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht5.cmp2704,D4646,1267375426,YES,doppel_suppressor_bidirekt_sdsym_1.smb
sht5.cmp2635,D4655,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht18.cmp19,D4820,1267375159,YES,master_diode_horiz_sdsym_1.smb
sht18.cmp8,D4821,1267375416,YES,suppressor_sym_1.smb
sht18.cmp59,D4822,1267375426,NO,doppel_suppressor_bidirekt_sdsym_1.smb
sht10.cmp5389/sht2.cmp3378,D5120,1267375177,NO,schottky_sym_1.smb
sht3.cmp299,D5660,1267375159,YES,master_diode_sym_1.smb
sht11.cmp4036,D7001,1267375171,NO,master_diode_sym_1.smb
sht11.cmp4041,D7002,1267375171,NO,master_diode_sym_1.smb
sht11.cmp4037,D7003,1267375171,NO,master_diode_sym_1.smb
sht11.cmp4038,D7005,1267375171,NO,master_diode_sym_1.smb
sht11.cmp4039,D7007,1267375143,NO,master_diode_sym_1.smb
sht12.cmp3,D7033,1267375404,NO,suppressor_sym_1.smb
sht12.cmp49,D7034,1267375404,NO,suppressor_sym_1.smb
sht12.cmp92,D7035,1267375404,NO,suppressor_sym_1.smb
sht12.cmp96,D7036,1267375404,NO,suppressor_sym_1.smb
sht12.cmp58,D7037,1267375404,NO,suppressor_sym_1.smb
sht12.cmp44,D7160,1267375171,NO,master_diode_sym_1.smb
sht12.cmp78,D7170,1267375171,NO,master_diode_sym_1.smb
sht12.cmp28,D7180,1267375171,NO,master_diode_sym_1.smb
sht12.cmp158,D7190,1267375171,NO,master_diode_sym_1.smb
sht12.cmp186,D7200,1267375171,NO,master_diode_sym_1.smb
sht14.cmp3417,D7210,1267375171,NO,master_diode_sym_1.smb
sht14.cmp3527,D7240,1267375171,NO,master_diode_sym_1.smb
sht14.cmp3541,D7250,1267375171,NO,master_diode_sym_1.smb
sht14.cmp3873,D7260,1267375171,NO,master_diode_sym_1.smb
sht14.cmp3902,D7270,1267375171,NO,master_diode_sym_1.smb
sht16.cmp3124,D7409,1267375171,NO,master_diode_sym_1.smb
sht16.cmp3175,D7419,1267375171,NO,master_diode_sym_1.smb
sht16.cmp3360,D7429,1267375171,NO,master_diode_sym_1.smb
sht17.cmp8361,D7439,1267375171,NO,master_diode_sym_1.smb
sht17.cmp8607,D7450,1267375155,NO,master_diode_sym_1.smb
sht17.cmp8611,D7460,1267375143,YES,master_diode_sym_1.smb
sht17.cmp8390,D7469,1267375171,NO,master_diode_sym_1.smb
sht17.cmp8411,D7479,1267375171,NO,master_diode_sym_1.smb
sht15.cmp2748,D8400,1267375404,NO,suppressor_sym_1.smb
sht10.cmp5389,HB5000,BS_UC1_DEV5_151;E,NO,BS_UC1_DEV5_151.smb
sht1.cmp86,KR1,8909B02697,NO,kr1_sym_1.smb
sht1.cmp2036,L3000,1267369535,NO,drossel_sdsym_1.smb
sht1.cmp1357,L3001,8909008195,YES,l_sym_1.smb
sht1.cmp1318,L3020,8909007119,NO,drossel_pol_sdsym_1.smb
sht1.cmp1396,L3021,8909008195,YES,l_sym_1.smb
sht4.cmp4896,L3170,1277240021,NO,act_filter_no_pol_sdsym_1.smb
